"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Ini", "Vue", "SCSS", "JSON5", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Applications\talex-touch\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 63
"e:\Workspace\Applications\talex-touch\.github\ISSUE_TEMPLATE\help_wanted.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 43
"e:\Workspace\Applications\talex-touch\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Workspace\Applications\talex-touch\.github\dependabot.yml", "YAML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 12
"e:\Workspace\Applications\talex-touch\.github\docs\contribution\CONTRIBUTING.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 99
"e:\Workspace\Applications\talex-touch\.github\docs\contribution\CONTRIBUTING_zh.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 98
"e:\Workspace\Applications\talex-touch\.github\workflows\ci.yml", "YAML", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 81
"e:\Workspace\Applications\talex-touch\.github\workflows\main.yml", "YAML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 52
"e:\Workspace\Applications\talex-touch\.github\workflows\readme-contributors.yml", "YAML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"e:\Workspace\Applications\talex-touch\README.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 149
"e:\Workspace\Applications\talex-touch\Touch.code-workspace", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
