Date : 2024-06-30 09:28:01
Directory : e:\Workspace\Applications\talex-touch
Total : 388 files,  65473 codes, 2734 comments, 11192 blanks, all 79399 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          8 |     19,652 |         21 |      4,280 |     23,953 |
| JavaScript         |         12 |     16,858 |        597 |        336 |     17,791 |
| Vue                |        147 |     14,821 |        560 |      3,798 |     19,179 |
| TypeScript         |        132 |      8,427 |      1,318 |      1,836 |     11,581 |
| JSON               |         25 |      3,427 |          0 |         16 |      3,443 |
| Markdown           |         33 |      1,315 |         31 |        749 |      2,095 |
| SCSS               |          4 |        477 |         26 |        130 |        633 |
| JSON with Comments |          7 |        200 |        166 |         22 |        388 |
| HTML               |         14 |        189 |         11 |         13 |        213 |
| PostCSS            |          3 |         52 |          1 |         11 |         64 |
| JSON5              |          1 |         35 |          3 |          1 |         39 |
| Ini                |          2 |         20 |          0 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        388 |     65,473 |      2,734 |     11,192 |     79,399 |
| . (Files)                                                                                                             |          9 |     13,470 |         11 |      3,439 |     16,920 |
| .github                                                                                                               |          9 |        321 |         37 |        127 |        485 |
| .github (Files)                                                                                                       |          2 |         16 |          4 |          9 |         29 |
| .github\ISSUE_TEMPLATE                                                                                                |          2 |         51 |         16 |         39 |        106 |
| .github\docs                                                                                                          |          2 |        141 |          0 |         56 |        197 |
| .github\docs\contribution                                                                                             |          2 |        141 |          0 |         56 |        197 |
| .github\workflows                                                                                                     |          3 |        113 |         17 |         23 |        153 |
| app                                                                                                                   |        253 |     39,484 |      2,022 |      5,424 |     46,930 |
| app\core                                                                                                              |        207 |     18,306 |      1,342 |      4,574 |     24,222 |
| app\core (Files)                                                                                                      |         11 |        606 |         38 |         43 |        687 |
| app\core\electron                                                                                                     |         40 |      3,512 |        579 |        892 |      4,983 |
| app\core\electron (Files)                                                                                             |          4 |        226 |         28 |         40 |        294 |
| app\core\electron\channel                                                                                             |          1 |        100 |         12 |         17 |        129 |
| app\core\electron\config                                                                                              |          1 |         44 |          0 |          6 |         50 |
| app\core\electron\core                                                                                                |          8 |        847 |        217 |        227 |      1,291 |
| app\core\electron\core (Files)                                                                                        |          2 |        529 |         62 |        129 |        720 |
| app\core\electron\core\addon                                                                                          |          4 |        110 |         82 |         29 |        221 |
| app\core\electron\core\addon\device                                                                                   |          2 |         33 |         74 |         20 |        127 |
| app\core\electron\core\addon\home-gear                                                                                |          1 |         77 |          7 |          9 |         93 |
| app\core\electron\core\addon\window                                                                                   |          1 |          0 |          1 |          0 |          1 |
| app\core\electron\core\eventbus                                                                                       |          1 |        119 |         72 |         48 |        239 |
| app\core\electron\core\storage                                                                                        |          1 |         89 |          1 |         21 |        111 |
| app\core\electron\modules                                                                                             |         17 |      1,169 |        118 |        282 |      1,569 |
| app\core\electron\modules (Files)                                                                                     |          8 |        448 |         29 |        138 |        615 |
| app\core\electron\modules\box-tool                                                                                    |          9 |        721 |         89 |        144 |        954 |
| app\core\electron\modules\box-tool (Files)                                                                            |          2 |        221 |         14 |         67 |        302 |
